id,metricDescription,yAxisFormatter,renderer,url,graph
mysql.com_revoke_all,mysql com revoke all,byte,line,n42-services/resources/metrics/mysql.com_revoke_all,FALSE
mysql.com_rollback,mysql com rollback,byte,line,n42-services/resources/metrics/mysql.com_rollback,TRUE
mysql.com_savepoint,mysql com savepoint,byte,line,n42-services/resources/metrics/mysql.com_savepoint,FALSE
mysql.com_select,mysql com select,byte,line,n42-services/resources/metrics/mysql.com_select,TRUE
mysql.com_set_option,mysql com set option,byte,line,n42-services/resources/metrics/mysql.com_set_option,FALSE
mysql.com_show_binlog_events,mysql com show binlog events,byte,line,n42-services/resources/metrics/mysql.com_show_binlog_events,TRUE
mysql.com_show_binlogs,mysql com show binlogs,byte,line,n42-services/resources/metrics/mysql.com_show_binlogs,FALSE
mysql.com_show_charsets,mysql com show charsets,byte,line,n42-services/resources/metrics/mysql.com_show_charsets,TRUE
mysql.com_show_collations,mysql com show collations,byte,line,n42-services/resources/metrics/mysql.com_show_collations,FALSE
mysql.com_show_create_db,mysql com show create db,byte,line,n42-services/resources/metrics/mysql.com_show_create_db,TRUE
mysql.com_show_create_table,mysql com show create table,byte,line,n42-services/resources/metrics/mysql.com_show_create_table,FALSE
mysql.com_show_databases,mysql com show databases,byte,line,n42-services/resources/metrics/mysql.com_show_databases,TRUE
mysql.com_show_errors,mysql com show errors,byte,line,n42-services/resources/metrics/mysql.com_show_errors,FALSE
mysql.com_show_fields,mysql com show fields,byte,line,n42-services/resources/metrics/mysql.com_show_fields,TRUE
mysql.com_show_grants,mysql com show grants,byte,line,n42-services/resources/metrics/mysql.com_show_grants,FALSE
mysql.com_show_keys,mysql com show keys,byte,line,n42-services/resources/metrics/mysql.com_show_keys,TRUE
mysql.com_show_master_status,mysql com show master status,byte,line,n42-services/resources/metrics/mysql.com_show_master_status,FALSE
mysql.com_show_open_tables,mysql com show open tables,byte,line,n42-services/resources/metrics/mysql.com_show_open_tables,TRUE
mysql.com_show_privileges,mysql com show privileges,byte,line,n42-services/resources/metrics/mysql.com_show_privileges,FALSE
mysql.com_show_processlist,mysql com show processlist,byte,line,n42-services/resources/metrics/mysql.com_show_processlist,TRUE
mysql.com_show_slave_hosts,mysql com show slave hosts,byte,line,n42-services/resources/metrics/mysql.com_show_slave_hosts,FALSE
mysql.com_show_slave_status,mysql com show slave status,byte,line,n42-services/resources/metrics/mysql.com_show_slave_status,TRUE
mysql.com_show_status,mysql com show status,byte,line,n42-services/resources/metrics/mysql.com_show_status,FALSE
mysql.com_show_storage_engines,mysql com show storage engines,byte,line,n42-services/resources/metrics/mysql.com_show_storage_engines,TRUE
mysql.com_show_tables,mysql com show tables,byte,line,n42-services/resources/metrics/mysql.com_show_tables,FALSE
mysql.com_show_triggers,mysql com show triggers,byte,line,n42-services/resources/metrics/mysql.com_show_triggers,TRUE
mysql.com_show_variables,mysql com show variables,byte,line,n42-services/resources/metrics/mysql.com_show_variables,FALSE
mysql.com_show_warnings,mysql com show warnings,byte,line,n42-services/resources/metrics/mysql.com_show_warnings,TRUE
mysql.com_slave_start,mysql com slave start,byte,line,n42-services/resources/metrics/mysql.com_slave_start,FALSE
mysql.com_slave_stop,mysql com slave stop,byte,line,n42-services/resources/metrics/mysql.com_slave_stop,TRUE
mysql.com_stmt_close,mysql com stmt close,byte,line,n42-services/resources/metrics/mysql.com_stmt_close,FALSE
mysql.com_stmt_execute,mysql com stmt execute,byte,line,n42-services/resources/metrics/mysql.com_stmt_execute,TRUE
mysql.com_stmt_fetch,mysql com stmt fetch,byte,line,n42-services/resources/metrics/mysql.com_stmt_fetch,FALSE
mysql.com_stmt_prepare,mysql com stmt prepare,byte,line,n42-services/resources/metrics/mysql.com_stmt_prepare,TRUE
mysql.com_stmt_reset,mysql com stmt reset,byte,line,n42-services/resources/metrics/mysql.com_stmt_reset,FALSE
mysql.com_stmt_send_long_data,mysql com stmt send long data,byte,line,n42-services/resources/metrics/mysql.com_stmt_send_long_data,TRUE
mysql.com_truncate,mysql com truncate,byte,line,n42-services/resources/metrics/mysql.com_truncate,FALSE
mysql.com_unlock_tables,mysql com unlock tables,byte,line,n42-services/resources/metrics/mysql.com_unlock_tables,TRUE
mysql.com_update,mysql com update,byte,line,n42-services/resources/metrics/mysql.com_update,FALSE
mysql.com_update_multi,mysql com update multi,byte,line,n42-services/resources/metrics/mysql.com_update_multi,TRUE
mysql.com_xa_commit,mysql com xa commit,byte,line,n42-services/resources/metrics/mysql.com_xa_commit,FALSE
mysql.com_xa_end,mysql com xa end,byte,line,n42-services/resources/metrics/mysql.com_xa_end,TRUE
mysql.com_xa_prepare,mysql com xa prepare,byte,line,n42-services/resources/metrics/mysql.com_xa_prepare,FALSE
mysql.com_xa_recover,mysql com xa recover,byte,line,n42-services/resources/metrics/mysql.com_xa_recover,TRUE
mysql.com_xa_rollback,mysql com xa rollback,byte,line,n42-services/resources/metrics/mysql.com_xa_rollback,FALSE
mysql.com_xa_start,mysql com xa start,byte,line,n42-services/resources/metrics/mysql.com_xa_start,TRUE
mysql.connections_cached,mysql connections cached,byte,line,n42-services/resources/metrics/mysql.connections_cached,FALSE
mysql.connections_connected,mysql connections connected,byte,line,n42-services/resources/metrics/mysql.connections_connected,TRUE
mysql.created_tmp_disk_tables,mysql created tmp disk tables,byte,line,n42-services/resources/metrics/mysql.created_tmp_disk_tables,FALSE
mysql.created_tmp_tables,mysql created tmp tables,byte,line,n42-services/resources/metrics/mysql.created_tmp_tables,TRUE
mysql.innodb_bp_pages_created,mysql innodb bp pages created,byte,line,n42-services/resources/metrics/mysql.innodb_bp_pages_created,FALSE
mysql.innodb_bp_pages_read,mysql innodb bp pages read,byte,line,n42-services/resources/metrics/mysql.innodb_bp_pages_read,TRUE
mysql.innodb_bp_pages_written,mysql innodb bp pages written,byte,line,n42-services/resources/metrics/mysql.innodb_bp_pages_written,FALSE
mysql.innodb_buffer_pool_pages_clean,mysql innodb buffer pool pages clean,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_pages_clean,TRUE
mysql.innodb_buffer_pool_pages_dirty,mysql innodb buffer pool pages dirty,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_pages_dirty,FALSE
mysql.innodb_buffer_pool_pages_flushed,mysql innodb buffer pool pages flushed,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_pages_flushed,TRUE
mysql.innodb_buffer_pool_pages_free,mysql innodb buffer pool pages free,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_pages_free,FALSE
mysql.innodb_buffer_pool_pages_misc,mysql innodb buffer pool pages misc,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_pages_misc,TRUE
mysql.innodb_buffer_pool_pages_unassigned,mysql innodb buffer pool pages unassigned,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_pages_unassigned,FALSE
mysql.innodb_buffer_pool_read_ahead_rnd,mysql innodb buffer pool read ahead rnd,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_read_ahead_rnd,TRUE
mysql.innodb_buffer_pool_reads,mysql innodb buffer pool reads,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_reads,FALSE
mysql.innodb_buffer_pool_wait_free,mysql innodb buffer pool wait free,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_wait_free,TRUE
mysql.innodb_buffer_pool_write_requests,mysql innodb buffer pool write requests,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_write_requests,FALSE
mysql.innodb_data_fsyncs,mysql innodb data fsyncs,byte,line,n42-services/resources/metrics/mysql.innodb_data_fsyncs,TRUE
mysql.innodb_data_pending_fsyncs,mysql innodb data pending fsyncs,byte,line,n42-services/resources/metrics/mysql.innodb_data_pending_fsyncs,FALSE
mysql.innodb_data_read,mysql innodb data read,byte,line,n42-services/resources/metrics/mysql.innodb_data_read,TRUE
mysql.innodb_data_written,mysql innodb data written,byte,line,n42-services/resources/metrics/mysql.innodb_data_written,FALSE
mysql.innodb_fsyncs_data,mysql innodb fsyncs data,byte,line,n42-services/resources/metrics/mysql.innodb_fsyncs_data,TRUE
mysql.innodb_fsyncs_os_log,mysql innodb fsyncs os log,byte,line,n42-services/resources/metrics/mysql.innodb_fsyncs_os_log,FALSE
mysql.innodb_os_log_fsyncs,mysql innodb os log fsyncs,byte,line,n42-services/resources/metrics/mysql.innodb_os_log_fsyncs,TRUE
mysql.innodb_os_log_written,mysql innodb os log written,byte,line,n42-services/resources/metrics/mysql.innodb_os_log_written,FALSE
mysql.innodb_rows_deleted,mysql innodb rows deleted,byte,line,n42-services/resources/metrics/mysql.innodb_rows_deleted,TRUE
mysql.innodb_rows_inserted,mysql innodb rows inserted,byte,line,n42-services/resources/metrics/mysql.innodb_rows_inserted,FALSE
mysql.innodb_rows_read,mysql innodb rows read,byte,line,n42-services/resources/metrics/mysql.innodb_rows_read,TRUE
mysql.innodb_rows_updated,mysql innodb rows updated,byte,line,n42-services/resources/metrics/mysql.innodb_rows_updated,FALSE
mysql.master_log_lag_bytes,mysql master log lag bytes,byte,line,n42-services/resources/metrics/mysql.master_log_lag_bytes,TRUE
mysql.max_used_connections,mysql max used connections,byte,line,n42-services/resources/metrics/mysql.max_used_connections,FALSE
mysql.open_files,mysql open files,byte,line,n42-services/resources/metrics/mysql.open_files,TRUE
mysql.open_streams,mysql open streams,byte,line,n42-services/resources/metrics/mysql.open_streams,FALSE
mysql.open_tables,mysql open tables,byte,line,n42-services/resources/metrics/mysql.open_tables,TRUE
mysql.opened_tables,mysql opened tables,byte,line,n42-services/resources/metrics/mysql.opened_tables,FALSE
mysql.pct_query_cache_hit_utilization,mysql pct query cache hit utilization,byte,line,n42-services/resources/metrics/mysql.pct_query_cache_hit_utilization,TRUE
mysql.pct_query_cache_memory_in_use,mysql pct query cache memory in use,byte,line,n42-services/resources/metrics/mysql.pct_query_cache_memory_in_use,FALSE
mysql.qcache_free_blocks,mysql qcache free blocks,byte,line,n42-services/resources/metrics/mysql.qcache_free_blocks,TRUE
mysql.qcache_free_memory,mysql qcache free memory,byte,line,n42-services/resources/metrics/mysql.qcache_free_memory,FALSE
mysql.qcache_hits,mysql qcache hits,byte,line,n42-services/resources/metrics/mysql.qcache_hits,TRUE
mysql.qcache_inserts,mysql qcache inserts,byte,line,n42-services/resources/metrics/mysql.qcache_inserts,FALSE
